conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,categories
1732705768422679010,Thu Dec 07 10:17:01 +0000 2023,0,Kalau @mohmahfudmd saat pilpres pernah di barisan pak Prabowo saat ini masih berada di kabinetnya pak Jokowi tapi nyambi jadi cawapresnya Ganjar. Jadi paham khan watak Mahfud??? Yang tidak konsisten seperti Mahfud itu apa pantas jadi cawapres di negeri ini ????,1732705768422679010,,,in,"Karanganyar, lereng Lawu",0,0,0,https://x.com/ariefbudiawan7/status/1732705768422679010,714965442,ariefbudiawan7,"kubu_03, kubu_02"
1732705635677110565,Thu Dec 07 10:16:38 +0000 2023,0,Dalam pidatonya capres Prabowo mengaku percaya diri memenangkan Pilpres 2024 jika sudah mendapatkan dukungan dari Presiden Joko Widodo dan Luhut Binsar Panjaitan (LBP). #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732705669298729268,,gadotaja,in,"DKI Jakarta, Indonesia",0,1,0,https://x.com/gadotaja/status/1732705669298729268,741633710601043969,gadotaja,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:16:07 +0000 2023,0, Kita siap menangkan Prabowo-Gibran dalam satu putaran Pilpres 2024 ujar Koordinator Kader dan Simpatisan PKS Jabar #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732705539656917481,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732705539656917481,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:16:05 +0000 2023,0,Berjalan masa kampanye Pilpres 2024 dukungan pada pasangan calon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka massif berdatangan. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732705531356397827,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732705531356397827,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:22 +0000 2023,0, Ayo kita menangkan Bapak Prabowo-Gibran dalam satu putaran Pilpres 2024 terang Koordinator Kader dan Simpatisan PKS Jabar #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703339627049403,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703339627049403,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:21 +0000 2023,0,Sebelumnya ratusan Kader dan Simpatisan PKS Jawa Barat (Jabar) mendeklarasikan dukungan kepada Prabowo-Gibran di Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703334967259399,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703334967259399,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:19 +0000 2023,0,Oleh karena itu bisa dipastikan Prabowo akan kembali memperoleh kemenangan seperti dua kali pilpres sebelumnya. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703323759985023,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703323759985023,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:15 +0000 2023,0,Jelang Pilpres 2024 pun elektabilitas Prabowo di Jabar terekam sangat positif. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703309994291252,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703309994291252,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:12 +0000 2023,0,Mendeklarasikan dukungan kepada pasangan nomor urut 2 di Pilpres 2024 yakni Prabowo Subianto dan Gibran Rakabuming Raka. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703296216007095,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703296216007095,4482720013,Mylincolnss,"kubu_01, kubu_02"
1732703285390532863,Thu Dec 07 10:07:11 +0000 2023,0,Menyatakan dukungan terhadap Menteri Pertahanan (Menhan) tersebut di Pemilihan Presiden (Pilpres) 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732703291669377212,,Mylincolnss,in,,0,1,0,https://x.com/Mylincolnss/status/1732703291669377212,4482720013,Mylincolnss,"kubu_01, kubu_02"
